sentiment,text
neutral,"patja has worked well for us for more than a decade , and fujitsu s new bid was competitive"
neutral,"enp newswire - 22 march 2011 release date - 21032011 - a total of 13 , 000 talvivaara mining company plc s new shares were subscribed for during the period between 1 january 2011 and 28 february 2011 under the company s stock option rights 2007 a"
negative,"helsinki thomson financial - shares in cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in april-june profits , which overshadowed the large number of new orders received during the three months"
neutral,"approximately sek 166 million in repayments has been demanded for overcharging in the stockholm area , with the remaining sek 87 million taken from the western coast , the inspectorate said"
neutral,"in connection with the deal , digia will employ 19 persons from nokia in oslo and in silicon valley in the usa"
neutral,no financial details were provided
neutral,"an additional amount , capped at eur 12 m , is payable in cash upon the achievement of certain financial performance targets in 2007"
neutral,"sanoma is a buyer not a target , he said"
neutral,the restructuring measures will not affect the production of packaging printing material
negative,"profit for the period totalled eur 1.1 mn , down from eur 1.6 mn in the third quarter of 2008"
neutral,"additionally , retailers can use the same hardware across all tasks in stores and throughout the warehouse , providing substantial savings on support and infrastructure costs"
positive,"ragutis , controlled by the finnish brewery olvi , achieved a 5.7 percent rise in beer sales to 22.6 million liters and held a 10.75 percent market_share"
positive,"selects third party logistics leader transplace for best-in-class technology , procurement capabilities ; leading specialty packaging manufacturer employs complete 3 pl solution for supply chain visibility and transportation efficiency to increase service levels and on-time deliveries @ positive 4 g allows customers to use mobile broadband services with speeds up to ten times higher than with today s 3 g"
positive,"in january-september 2009 , the group s net interest income increased to eur 112.4 mn from eur 74.3 mn in january-september 2008"
positive,"nordea bank ( sto : nda ) and sampo bank have helped finnish real estate investment company sponda ( hel : sda 1 v ) place a eur 100 m ( usd 125.4 m ) domestic bond , the company said friday"
neutral,their names have not yet been released
neutral,"the rewards to be paid on the basis of the earning period 2011 will correspond to the value of a maximum total of 364 , 000 componenta corporation shares including also the proportion to be paid in cash"
neutral,the agreement includes application maintenance and support services
neutral,"following this increase huhtamaki s registered share capital is eur 360.62 m and the number of shares outstanding is 106 , 063 , 320"
positive,"in the second quarter of 2010 , the group s net profit rose to eur 3.1 m from eur 2.5 m in april-june 2009"
neutral,being successful requires providing a level of quality that satisfies our customers and partners
neutral,financial details were n t disclosed
positive,"firm 28 october 2009 - finnish lifting equipment maker konecranes oyj hel : kcr 1 v said today it acquired us machine tool solutions unlimited in cincinnati , ohio , for an undisclosed sum"
neutral,uponor maintains its full-year guidance for 2010
negative,profit for the period fell to eur 1.6 mn from eur 7.5 mn in january-september 2008
neutral,"in russia , raisio s food division s home market stretches all the way to vladivostok"
neutral,"the order comprises four ball mills , which will be organized in two different streams for treating ore in the pilanesberg platinum mine"
positive,"finnish talentum reports its operating_profit increased to eur 20.5 mn in 2005 from eur 9.3 mn in 2004 , and net_sales totaled eur 103.3 mn , up from eur 96.4 mn"
neutral,aspocomp intends to set up a plant to manufacture printed circuit boards with an investment of rs 310 crore
neutral,it said comptel delivers reliable provisioning and activation solutions which improve fulfilment processes for operators
neutral,the volume of investments in the two phases of the project is estimated at usd 300 mn ( eur 215.03 mn )
positive,"jawad williams scored 23 points in an impressive debut for jerusalem , with jason rich adding 18 and yuval naimi chipping in with 16 points for hapoel , which visits the yellow-and-blue next week"
positive,under the contract cramo sverige and its subcontractor brinkab ab will provide all scaffolding installations at lkab s new pellets plant in kiruna in northern sweden
neutral,"a in august 2007 , latvijas finieris ordered all production lines for a new green veneer mill to be built in ukmerge , central lithuania"
